Pclass,Age,SibSp,Parch,Fare,Ticket,Q,C,S,male,female,Survived
1,38,0,0,80,113572,0,0,0,0,1,1
1,45,1,0,83.475,36973,0,0,1,1,0,0
3,4,3,2,27.9,347088,0,0,1,1,0,0
1,28,0,0,27.7208,17605,0,1,0,1,0,0
3,28,1,1,15.2458,2661,0,1,0,1,0,1
2,29,0,0,10.5,29395,0,0,1,0,1,1
3,19,0,0,8.1583,3464,0,0,1,1,0,0
3,17,4,2,7.925,3101281,0,0,1,0,1,1
3,26,2,0,8.6625,315151,0,0,1,1,0,0
2,32,0,0,10.5,33111,0,0,1,1,0,0
3,16,5,2,46.9,2144,0,0,1,0,1,0
2,21,0,0,73.5,14879,0,0,1,1,0,0
3,26,1,0,14.4542,2680,0,1,0,1,0,0
3,32,0,0,56.4958,1601,0,0,1,1,0,1
3,25,0,0,7.65,348123,0,0,1,1,0,0
3,28,0,0,7.8958,349208,0,0,1,1,0,0
3,28,0,0,8.05,374746,0,0,1,1,0,0
2,1,0,2,29,248738,0,0,1,1,0,1
3,30,0,0,12.475,364516,0,0,1,0,1,1
3,22,0,0,9,345767,0,0,1,1,0,0
3,29,0,0,9.5,345779,0,0,1,1,0,1
3,28,0,0,7.7875,330932,1,0,0,0,1,1
1,28,0,0,47.1,113059,0,0,1,1,0,0
2,17,0,0,10.5,14885,0,0,1,0,1,1
3,33,3,0,15.85,3101278,0,0,1,0,1,1
3,16,1,3,34.375,6608,0,0,1,1,0,0
3,28,0,0,8.05,392086,0,0,1,1,0,0
1,23,3,2,263,19950,0,0,1,0,1,1
3,24,0,0,8.05,343275,0,0,1,1,0,0
3,29,0,0,8.05,343276,0,0,1,1,0,0
3,20,0,0,7.8542,347466,0,0,1,1,0,0
1,46,1,0,61.175,5734,0,0,1,1,0,0
3,26,1,2,20.575,2315,0,0,1,1,0,0
3,59,0,0,7.25,364500,0,0,1,1,0,0
3,28,0,0,8.05,374910,0,0,1,1,0,0
1,71,0,0,34.6542,17754,0,1,0,1,0,0
1,23,0,1,63.3583,17759,0,1,0,1,0,1
2,34,0,1,23,231919,0,0,1,0,1,1
2,34,1,0,26,244367,0,0,1,1,0,0
3,28,0,0,7.8958,349245,0,0,1,0,1,0
3,28,0,0,7.8958,349215,0,0,1,1,0,0
1,21,0,1,77.2875,35281,0,0,1,1,0,0
3,33,0,0,8.6542,7540,0,0,1,1,0,0
3,37,2,0,7.925,3101276,0,0,1,1,0,0
3,28,0,0,7.8958,349207,0,0,1,1,0,0
3,21,0,0,7.65,343120,0,0,1,0,1,1
3,28,0,0,7.775,312991,0,0,1,1,0,1
3,38,0,0,7.8958,349249,0,0,1,1,0,0
3,28,1,0,24.15,371110,1,0,0,0,1,1
1,47,0,0,52,110465,0,0,1,1,0,0
3,15,1,0,14.4542,2665,0,1,0,0,1,0
3,22,0,0,8.05,324669,0,0,1,1,0,0
3,20,1,0,9.825,4136,0,0,1,0,1,0
3,17,0,0,14.4583,2627,0,1,0,0,1,0
3,21,0,0,7.925,23101294,0,0,1,1,0,0
3,71,0,0,7.75,370369,1,0,0,1,0,0
2,29,1,0,21,11668,0,0,1,1,0,0
1,24,0,1,247.5208,17558,0,1,0,1,0,0
3,2,4,2,31.275,347082,0,0,1,0,1,0
2,21,2,0,73.5,14879,0,0,1,1,0,0
3,28,0,0,8.05,454510,0,0,1,1,0,0
2,33,1,0,30.0708,237736,0,1,0,1,0,0
2,33,0,0,13,27267,0,0,1,0,1,1
1,54,0,1,77.2875,35281,0,0,1,1,0,0
3,12,1,0,11.2417,2651,0,1,0,1,0,1
3,28,0,0,7.75,370372,1,0,0,1,0,0
3,24,0,0,7.1417,17369,0,0,1,1,0,1
3,28,1,1,22.3583,2668,0,1,0,0,1,1
3,45,0,0,6.975,347061,0,0,1,1,0,0
3,33,0,0,7.8958,349241,0,1,0,1,0,0
3,20,0,0,7.05,3101307,0,0,1,1,0,0
3,47,1,0,14.5,53337,0,0,1,0,1,0
2,29,1,0,26,228414,0,0,1,0,1,1
2,25,0,0,13,29178,0,0,1,1,0,0
2,23,0,0,15.0458,2133,0,1,0,1,0,0
1,19,0,2,26.2833,11752,0,0,1,0,1,1
1,37,1,0,53.1,113803,0,0,1,1,0,0
3,16,0,0,9.2167,7534,0,0,1,1,0,0
1,24,0,0,79.2,17593,0,1,0,1,0,0
3,28,0,2,15.2458,2678,0,1,0,0,1,0
3,22,0,0,7.75,347081,0,0,1,0,1,1
3,24,1,0,15.85,23101279,0,0,1,0,1,1
3,19,0,0,6.75,365222,1,0,0,1,0,0
2,18,0,0,11.5,231945,0,0,1,1,0,0
2,19,1,1,36.75,33112,0,0,1,1,0,0
3,27,0,0,7.7958,350043,0,0,1,1,0,1
3,9,2,2,34.375,6608,0,0,1,0,1,0
2,37,0,2,26,230080,0,0,1,1,0,0
2,42,0,0,13,244310,0,0,1,1,0,0
2,51,0,0,12.525,1166,0,0,1,1,0,0
1,22,1,0,66.6,113776,0,0,1,0,1,1
3,56,0,0,8.05,511206,0,0,1,1,0,0
3,41,0,2,14.5,5851,0,0,1,1,0,0
3,28,0,0,7.3125,265302,0,0,1,1,0,0
1,51,0,1,61.3792,17597,0,1,0,1,0,0
3,16,0,0,7.7333,35851,1,0,0,0,1,1
3,30,0,0,8.05,392090,0,0,1,1,0,0
3,28,0,0,8.6625,315037,0,0,1,1,0,0
3,28,8,2,69.55,2343,0,0,1,1,0,0
3,44,0,1,16.1,371362,0,0,1,1,0,0
2,40,0,0,15.75,33595,0,0,1,0,1,1
3,26,0,0,7.775,347068,0,0,1,1,0,0
3,17,0,0,8.6625,315093,0,0,1,1,0,0
3,1,4,1,39.6875,3101295,0,0,1,1,0,0
3,9,0,2,20.525,363291,0,0,1,1,0,1
1,28,0,1,55,113505,0,0,1,0,1,1
3,45,1,4,27.9,347088,0,0,1,0,1,0
1,28,0,0,25.925,17318,0,0,1,1,0,0
3,28,0,0,56.4958,1601,0,0,1,1,0,0
1,61,0,0,33.5,111240,0,0,1,1,0,0
3,4,4,1,29.125,382652,1,0,0,1,0,0
3,1,1,1,11.1333,347742,0,0,1,0,1,1
3,21,0,0,7.925,23101280,0,0,1,1,0,0
1,56,0,0,30.6958,17764,0,1,0,1,0,0
3,18,1,1,7.8542,350404,0,0,1,1,0,0
3,28,3,1,25.4667,4133,0,0,1,1,0,0
1,50,0,0,28.7125,17595,0,1,0,0,1,0
2,30,0,0,13,250653,0,0,1,1,0,0
3,36,0,0,0,0,0,0,1,1,0,0
3,28,8,2,69.55,2343,0,0,1,0,1,0
2,28,0,0,15.05,2131,0,1,0,1,0,0
3,9,4,2,31.3875,347077,0,0,1,1,0,0
2,1,2,1,39,230136,0,0,1,1,0,1
3,4,0,2,22.025,315153,0,0,1,0,1,1
1,28,0,0,50,113767,0,0,1,1,0,0
3,28,1,0,15.5,370365,1,0,0,0,1,1
1,45,0,0,26.55,111428,0,0,1,1,0,1
3,40,1,1,15.5,364849,1,0,0,1,0,0
3,36,0,0,7.8958,349247,0,0,1,1,0,0
2,32,0,0,13,234604,0,0,1,0,1,1
2,19,0,0,13,28424,0,0,1,1,0,0
3,19,1,0,7.8542,350046,0,0,1,0,1,1
2,3,1,1,26,230080,0,0,1,1,0,1
1,44,0,0,27.7208,17610,0,1,0,0,1,1
1,58,0,0,146.5208,17569,0,1,0,0,1,1
3,28,0,0,7.75,368703,1,0,0,1,0,0
3,42,0,1,8.4042,4579,0,0,1,1,0,0
3,28,0,0,7.75,370370,1,0,0,0,1,1
2,24,0,0,13,248747,0,0,1,0,1,0
3,28,0,0,9.5,345770,0,0,1,1,0,0
3,28,8,2,69.55,2343,0,0,1,1,0,0
3,34,0,0,6.4958,3101264,0,0,1,1,0,0
3,46,0,0,7.225,2628,0,1,0,1,0,0
3,18,0,0,8.05,53540,0,0,1,1,0,1
3,2,0,1,10.4625,347054,0,0,1,0,1,0
3,32,1,0,15.85,3101278,0,0,1,1,0,0
3,26,0,0,18.7875,2699,0,1,0,1,0,1
3,16,0,0,7.75,367231,1,0,0,0,1,1
1,40,0,0,31,112277,0,1,0,1,0,1
3,24,0,0,7.05,3101311,0,0,1,1,0,0
2,35,0,0,21,13528,0,0,1,0,1,1
3,22,0,0,7.25,521174,0,0,1,1,0,0
2,30,0,0,13,250646,0,0,1,1,0,0
3,28,1,0,7.75,367229,1,0,0,1,0,0
1,31,1,0,113.275,35273,0,1,0,0,1,1
3,27,0,0,7.925,23101283,0,0,1,0,1,1
2,42,1,0,27,243847,0,0,1,1,0,0
1,32,0,0,76.2917,11813,0,1,0,0,1,1
2,30,0,0,10.5,14208,0,0,1,1,0,0
3,16,0,0,8.05,392089,0,0,1,1,0,1
2,27,0,0,13,220367,0,0,1,1,0,0
3,51,0,0,8.05,21440,0,0,1,1,0,0
3,28,0,0,7.8958,349234,0,0,1,1,0,0
1,38,1,0,90,19943,0,0,1,1,0,1
3,22,0,0,9.35,4348,0,0,1,1,0,0
2,19,0,0,10.5,751,0,0,1,1,0,1
3,21,0,0,7.25,521173,0,0,1,1,0,0
2,18,0,0,13,236171,0,0,1,1,0,0
3,28,3,1,25.4667,4133,0,0,1,0,1,0
1,35,1,0,83.475,36973,0,0,1,0,1,1
3,29,0,0,7.775,347067,0,0,1,1,0,0
2,59,0,0,13.5,237442,0,0,1,1,0,0
3,5,4,2,31.3875,347077,0,0,1,0,1,1
2,24,0,0,10.5,29566,0,0,1,1,0,0
3,28,0,0,7.55,6609,0,0,1,0,1,0
2,44,1,0,26,26707,0,0,1,1,0,0
2,8,0,2,26.25,31921,0,0,1,0,1,1
2,19,0,0,10.5,28665,0,0,1,1,0,0
2,33,0,0,12.275,1585,0,0,1,1,0,0
3,28,1,0,14.4542,2665,0,1,0,0,1,0
3,28,1,0,15.5,367230,1,0,0,0,1,1
2,29,0,0,10.5,14263,0,0,1,1,0,0
3,22,0,0,7.125,23101275,0,0,1,1,0,0
3,30,0,0,7.225,2694,0,1,0,1,0,0
1,44,2,0,90,19928,1,0,0,1,0,0
3,25,0,0,7.775,347071,0,0,1,0,1,0
2,24,0,2,14.5,250649,0,0,1,0,1,1
1,37,1,1,52.5542,11751,0,0,1,1,0,1
2,54,1,0,26,244252,0,0,1,1,0,0
3,28,0,0,7.25,362316,0,0,1,1,0,0
3,29,1,1,10.4625,347054,0,0,1,0,1,0
1,62,0,0,26.55,113514,0,0,1,1,0,0
3,30,1,0,16.1,53336,0,0,1,1,0,0
3,41,0,2,20.2125,370129,0,0,1,0,1,0
3,29,0,2,15.2458,2650,0,1,0,0,1,1
1,28,0,0,79.2,17585,0,1,0,0,1,1
1,30,0,0,86.5,110152,0,0,1,0,1,1
1,35,0,0,512.3292,17755,0,1,0,0,1,1
2,50,0,1,26,230433,0,0,1,0,1,1
3,28,0,0,7.75,384461,1,0,0,1,0,0
3,3,4,2,31.3875,347077,0,0,1,1,0,1
1,52,1,1,79.65,110413,0,0,1,1,0,0
1,40,0,0,0,112059,0,0,1,1,0,0
3,28,0,0,7.75,382649,1,0,0,0,1,0
2,36,0,0,10.5,17248,0,0,1,1,0,0
3,16,4,1,39.6875,3101295,0,0,1,1,0,0
3,25,1,0,7.775,347083,0,0,1,1,0,1
1,58,0,1,153.4625,17582,0,0,1,0,1,1
1,35,0,0,135.6333,17760,0,0,1,0,1,1
1,28,0,0,31,113798,0,0,1,1,0,0
3,25,0,0,0,0,0,0,1,1,0,1
2,41,0,1,19.5,250644,0,0,1,0,1,1
1,37,0,1,29.7,17596,0,1,0,1,0,0
3,28,0,0,7.75,370375,1,0,0,0,1,1
1,63,1,0,77.9583,13502,0,0,1,0,1,1
3,45,0,0,7.75,347073,0,0,1,0,1,0
2,28,0,0,0,239853,0,0,1,1,0,0
3,7,4,1,29.125,382652,1,0,0,1,0,0
3,35,1,1,20.25,2673,0,0,1,0,1,1
3,65,0,0,7.75,336439,1,0,0,1,0,0
3,28,0,0,7.8542,347464,0,0,1,1,0,0
3,16,0,0,9.5,345778,0,0,1,1,0,0
3,19,0,0,8.05,510482,0,0,1,1,0,1
1,28,0,0,26,113056,0,0,1,1,0,0
3,33,0,0,8.6625,349239,0,1,0,1,0,0
3,30,0,0,9.5,345774,0,0,1,1,0,1
3,22,0,0,7.8958,349206,0,0,1,1,0,0
2,42,0,0,13,237798,0,0,1,1,0,1
3,22,0,0,7.75,370373,1,0,0,0,1,1
1,26,0,0,78.85,19877,0,0,1,0,1,1
1,19,1,0,91.0792,11967,0,1,0,0,1,1
2,36,0,0,12.875,2163,0,1,0,1,0,0
3,24,0,0,8.85,349236,0,0,1,0,1,0
3,24,0,0,7.8958,349233,0,0,1,1,0,0
1,28,0,0,27.7208,17612,0,1,0,1,0,0
3,24,0,0,7.2292,2693,0,1,0,1,0,0
1,2,1,2,151.55,113781,0,0,1,0,1,0
1,28,0,0,30.5,19988,0,0,1,1,0,1
1,50,0,1,247.5208,17558,0,1,0,0,1,1
3,28,0,0,7.75,9234,1,0,0,0,1,1
3,28,2,0,23.25,367226,1,0,0,1,0,1
3,19,0,0,0,0,0,0,1,1,0,0
2,28,0,0,12.35,226593,1,0,0,0,1,1
3,28,0,0,8.05,52466,0,0,1,1,0,0
1,1,1,2,151.55,113781,0,0,1,1,0,1
1,28,0,0,110.8833,17421,0,1,0,0,1,1
1,17,1,0,108.9,17758,0,1,0,0,1,1
2,30,1,0,24,3381,0,1,0,1,0,0
1,30,0,0,56.9292,17485,0,1,0,0,1,1
1,24,0,0,83.1583,11767,0,1,0,0,1,1
1,18,2,2,262.375,17608,0,1,0,0,1,1
2,26,1,1,26,250651,0,0,1,0,1,0
3,28,0,0,7.8958,349243,0,0,1,1,0,0
2,43,1,1,26.25,13529,0,0,1,1,0,0
3,26,0,0,7.8542,347470,0,0,1,0,1,1
2,24,1,0,26,244367,0,0,1,0,1,1
2,54,0,0,14,29011,0,0,1,1,0,0
1,31,0,2,164.8667,36928,0,0,1,0,1,1
1,40,1,1,134.5,16966,0,1,0,0,1,1
3,22,0,0,7.25,521172,0,0,1,1,0,0
3,27,0,0,7.8958,349219,0,0,1,1,0,0
2,30,0,0,12.35,234818,1,0,0,0,1,1
2,22,1,1,29,248738,0,0,1,0,1,1
3,28,8,2,69.55,2343,0,0,1,1,0,0
1,36,0,0,135.6333,17760,0,1,0,0,1,1
3,61,0,0,6.2375,345364,0,0,1,1,0,0
2,36,0,0,13,28551,0,0,1,0,1,1
3,31,1,1,20.525,363291,0,0,1,0,1,1
1,16,0,1,57.9792,111361,0,1,0,0,1,1
3,28,2,0,23.25,367226,1,0,0,0,1,1
1,46,0,0,28.5,113043,0,0,1,1,0,0
1,38,0,1,153.4625,17582,0,0,1,1,0,0
3,16,2,0,18,345764,0,0,1,1,0,0
1,28,1,0,133.65,17611,0,0,1,0,1,1
3,28,0,0,7.8958,349225,0,0,1,1,0,0
1,29,1,0,66.6,113776,0,0,1,1,0,0
1,41,0,0,134.5,16966,0,1,0,0,1,1
3,45,0,0,8.05,7598,0,0,1,1,0,1
1,45,0,0,35.5,113784,0,0,1,1,0,0
2,2,1,1,26,230080,0,0,1,1,0,1
1,24,3,2,263,19950,0,0,1,0,1,1
2,28,0,0,13,248740,0,0,1,1,0,0
2,25,0,0,13,244361,0,0,1,1,0,0
2,36,0,0,13,229236,0,0,1,1,0,0
2,24,0,0,13,248733,0,0,1,0,1,1
2,40,0,0,13,31418,0,0,1,0,1,1
3,28,1,0,16.1,386525,0,0,1,0,1,1
3,3,1,1,15.9,37671,0,0,1,1,0,1
3,42,0,0,8.6625,315088,0,0,1,1,0,0
3,23,0,0,9.225,7267,0,0,1,1,0,0
1,28,0,0,35,113510,0,0,1,1,0,0
3,15,1,1,7.2292,2695,0,1,0,1,0,0
3,25,1,0,17.8,349237,0,0,1,1,0,0
3,28,0,0,7.225,2647,0,1,0,1,0,0
3,28,0,0,9.5,345783,0,0,1,1,0,0
1,22,0,1,55,113505,0,0,1,0,1,1
2,38,0,0,13,237671,0,0,1,0,1,0
3,28,0,0,7.8792,330931,1,0,0,0,1,1
3,28,0,0,7.8792,330980,1,0,0,0,1,1
3,40,1,4,27.9,347088,0,0,1,1,0,0
2,29,1,0,27.7208,2167,0,1,0,1,0,0
3,45,0,1,14.4542,2691,0,1,0,0,1,0
3,35,0,0,7.05,3101310,0,0,1,1,0,0
3,28,1,0,15.5,370365,1,0,0,1,0,0
3,30,0,0,7.25,7076,0,0,1,1,0,0
1,60,1,0,75.25,110813,0,1,0,0,1,1
3,28,0,0,7.2292,2626,0,1,0,0,1,1
3,28,0,0,7.75,14313,1,0,0,0,1,1
1,24,0,0,69.3,17477,0,1,0,0,1,1
1,25,1,0,55.4417,11765,0,1,0,1,0,1
3,18,1,0,6.4958,3101267,0,0,1,1,0,0
3,19,0,0,8.05,323951,0,0,1,1,0,0
1,22,0,0,135.6333,17760,0,1,0,1,0,0
3,3,3,1,21.075,349909,0,0,1,0,1,0
1,28,1,0,82.1708,17604,0,1,0,0,1,1
3,22,0,0,7.25,7077,0,0,1,0,1,1
1,27,0,2,211.5,113503,0,1,0,1,0,0
3,20,0,0,4.0125,2648,0,1,0,1,0,0
3,19,0,0,7.775,347069,0,0,1,1,0,0
1,42,0,0,227.525,17757,0,1,0,0,1,1
3,1,0,2,15.7417,2653,0,1,0,0,1,1
3,32,0,0,7.925,23101293,0,0,1,1,0,0
1,35,1,0,52,113789,0,0,1,0,1,1
3,28,0,0,7.8958,349227,0,0,1,1,0,0
2,18,0,0,73.5,14879,0,0,1,1,0,0
3,1,5,2,46.9,2144,0,0,1,1,0,0
2,36,0,0,13,27849,0,0,1,0,1,1
3,28,0,0,7.7292,367655,1,0,0,1,0,0
2,17,0,0,12,1748,0,1,0,0,1,1
1,36,1,2,120,113760,0,0,1,1,0,1
3,21,0,0,7.7958,350034,0,0,1,1,0,1
3,28,2,0,7.925,3101277,0,0,1,1,0,0
1,23,1,0,113.275,35273,0,1,0,0,1,1
3,24,0,2,16.7,9549,0,0,1,0,1,1
3,22,0,0,7.7958,350052,0,0,1,1,0,0
3,31,0,0,7.8542,350407,0,0,1,0,1,0
2,46,0,0,26,28403,0,0,1,1,0,0
2,23,0,0,10.5,244278,0,0,1,1,0,0
2,28,0,0,12.65,240929,0,0,1,0,1,1
3,39,0,0,7.925,23101289,0,0,1,1,0,1
3,26,0,0,8.05,341826,0,0,1,1,0,0
3,21,1,0,9.825,4137,0,0,1,0,1,0
3,28,1,0,15.85,23101279,0,0,1,1,0,0
3,20,0,0,8.6625,315096,0,0,1,0,1,0
2,34,1,0,21,28664,0,0,1,1,0,0
3,51,0,0,7.75,347064,0,0,1,1,0,0
2,3,1,1,18.75,29106,0,0,1,1,0,1
3,21,0,0,7.775,312992,0,0,1,1,0,0
3,28,3,1,25.4667,4133,0,0,1,0,1,0
3,28,0,0,7.8958,349222,0,0,1,1,0,0
3,28,0,0,6.8583,394140,1,0,0,1,0,0
1,33,1,0,90,19928,1,0,0,0,1,1
2,28,0,0,0,239853,0,0,1,1,0,0
3,44,0,0,7.925,23101269,0,0,1,1,0,1
3,28,0,0,8.05,343095,0,0,1,0,1,0
2,34,1,1,32.5,28220,0,0,1,0,1,1
2,18,0,2,13,250652,0,0,1,0,1,1
2,30,0,0,13,28228,0,0,1,1,0,0
3,10,0,2,24.15,345773,0,0,1,0,1,0
3,28,0,0,7.8958,349254,0,1,0,1,0,0
3,21,0,0,7.7333,513032,1,0,0,1,0,0
3,29,0,0,7.875,315082,0,0,1,1,0,0
3,28,1,1,14.4,347080,0,0,1,0,1,0
3,18,1,1,20.2125,370129,0,0,1,1,0,0
3,28,0,0,7.25,434244,0,0,1,1,0,0
2,28,1,0,26,2003,0,0,1,0,1,1
2,19,0,0,26,250655,0,0,1,0,1,1
3,28,0,0,7.75,364851,1,0,0,1,0,0
3,32,0,0,8.05,392078,0,0,1,1,0,1
1,28,0,0,26.55,110564,0,0,1,1,0,1
3,28,1,0,16.1,376564,0,0,1,0,1,1
2,42,1,0,26,3085,0,0,1,0,1,1
3,17,0,0,7.125,23101274,0,0,1,1,0,0
1,50,1,0,55.9,13507,0,0,1,1,0,0
1,14,1,2,120,113760,0,0,1,0,1,1
3,21,2,2,34.375,6608,0,0,1,0,1,0
2,24,2,3,18.75,29106,0,0,1,0,1,1
1,64,1,4,263,19950,0,0,1,1,0,0
2,31,0,0,10.5,18723,0,0,1,1,0,0
2,45,1,1,26.25,13529,0,0,1,0,1,1
3,20,0,0,9.5,345769,0,0,1,1,0,0
3,25,1,0,7.775,347076,0,0,1,1,0,0
2,28,0,0,13,230434,0,0,1,0,1,1
3,28,0,0,8.1125,65306,0,0,1,1,0,1
1,4,0,2,81.8583,33638,0,0,1,1,0,1
2,13,0,1,19.5,250644,0,0,1,0,1,1
1,34,0,0,26.55,113794,0,0,1,1,0,1
3,5,2,1,19.2583,2666,0,1,0,0,1,1
1,52,0,0,30.5,113786,0,0,1,1,0,1
2,36,1,2,27.75,34651,0,0,1,1,0,0
3,28,1,0,19.9667,65303,0,0,1,1,0,0
1,30,0,0,27.75,113051,0,1,0,1,0,0
1,49,1,0,89.1042,17453,0,1,0,1,0,1
3,28,0,0,8.05,52817,0,0,1,1,0,0
3,29,0,0,7.8958,349240,0,1,0,1,0,1
1,65,0,0,26.55,13509,0,0,1,1,0,0
1,28,1,0,51.8625,17464,0,0,1,0,1,1
2,50,0,0,10.5,13531,0,0,1,0,1,1
3,28,0,0,7.75,371060,1,0,0,1,0,0
1,48,0,0,26.55,19952,0,0,1,1,0,1
3,34,0,0,8.05,364506,0,0,1,1,0,0
1,47,0,0,38.5,111320,0,0,1,1,0,0
2,48,0,0,13,234360,0,0,1,1,0,0
3,28,0,0,8.05,2816,0,0,1,1,0,0
3,38,0,0,7.05,3101306,0,0,1,1,0,0
2,28,0,0,0,239853,0,0,1,1,0,0
1,56,0,0,26.55,113792,0,0,1,1,0,0
3,28,0,0,7.725,36209,1,0,0,1,0,0
3,1,2,1,19.2583,2666,0,1,0,0,1,1
3,28,0,0,7.25,323592,0,0,1,1,0,0
3,38,0,0,8.6625,315089,0,0,1,1,0,0
2,33,1,2,27.75,34651,0,0,1,0,1,1
2,23,0,0,13.7917,541,0,1,0,0,1,1
3,22,0,0,9.8375,7553,0,0,1,0,1,0
1,28,0,0,52,110465,0,0,1,1,0,0
2,34,1,0,21,31027,0,0,1,1,0,0
3,29,1,0,7.0458,3460,0,0,1,1,0,0
3,22,0,0,7.5208,350060,0,0,1,1,0,0
3,2,0,1,12.2875,3101298,0,0,1,0,1,1
3,9,5,2,46.9,2144,0,0,1,1,0,0
2,28,0,0,0,239854,0,0,1,1,0,0
3,50,0,0,8.05,53594,0,0,1,1,0,0
3,63,0,0,9.5875,4134,0,0,1,0,1,1
1,25,1,0,91.0792,11967,0,1,0,1,0,1
3,28,3,1,25.4667,4133,0,0,1,0,1,0
1,35,1,0,90,19943,0,0,1,0,1,1
1,58,0,0,29.7,11771,0,1,0,1,0,0
3,30,0,0,8.05,518509,0,0,1,1,0,0
3,9,1,1,15.9,37671,0,0,1,1,0,1
3,28,1,0,19.9667,65304,0,0,1,1,0,0
3,21,0,0,7.25,3101317,0,0,1,1,0,0
1,55,0,0,30.5,113787,0,0,1,1,0,0
1,71,0,0,49.5042,17609,0,1,0,1,0,0
3,21,0,0,8.05,445380,0,0,1,1,0,0
3,28,0,0,14.4583,2627,0,1,0,1,0,0
1,54,1,0,78.2667,36947,0,1,0,0,1,1
3,28,0,0,15.1,6212,0,0,1,1,0,0
1,25,1,2,151.55,113781,0,0,1,0,1,0
3,24,0,0,7.7958,350035,0,0,1,1,0,0
3,17,0,0,8.6625,315086,0,0,1,1,0,0
3,21,0,0,7.75,364846,1,0,0,0,1,0
3,28,0,0,7.6292,330909,1,0,0,0,1,0
3,37,0,0,9.5875,4135,0,0,1,0,1,0
1,16,0,0,86.5,110152,0,0,1,0,1,1
1,18,1,0,108.9,17758,0,1,0,1,0,0
2,33,0,2,26,26360,0,0,1,0,1,1
1,28,0,0,26.55,111427,0,0,1,1,0,1
3,28,0,0,22.525,4001,0,0,1,1,0,0
3,26,0,0,56.4958,1601,0,0,1,1,0,1
3,29,0,0,7.75,382651,1,0,0,1,0,1
3,28,0,0,8.05,3101316,0,0,1,1,0,0
1,36,0,0,26.2875,17473,0,0,1,1,0,1
1,54,1,0,59.4,17603,0,1,0,0,1,1
3,24,0,0,7.4958,349209,0,0,1,1,0,0
